source_file,extraction_status,A_basic_context_identifiers.branch_location,A_basic_context_identifiers.conversation_summary,A_basic_context_identifiers.insurer_name,B_call_type_flow.call_flow_type,B_call_type_flow.call_outcome,B_call_type_flow.call_type_description,B_call_type_flow.customer_urgency,B_call_type_flow.decision_points,C_time_feasibility.branch_hours_constraints,C_time_feasibility.customer_stated_timing_need,C_time_feasibility.customer_time_need_category,C_time_feasibility.customer_timing_anxiety,C_time_feasibility.infeasibility_reasons,C_time_feasibility.request_feasible,C_time_feasibility.stranded_risk_language,D_pickup_delivery_access.agent_said_branch_discretion,D_pickup_delivery_access.agent_said_delivery_not_guaranteed,D_pickup_delivery_access.agent_said_pickup_not_guaranteed,D_pickup_delivery_access.customer_logistics_anxiety,D_pickup_delivery_access.customer_logistics_confusion,D_pickup_delivery_access.delivery_requested,D_pickup_delivery_access.instructed_to_call_branch,D_pickup_delivery_access.option_5_instruction_used,D_pickup_delivery_access.pickup_requested,D_pickup_delivery_access.self_pickup_only,E_fleet_vehicle_availability.agent_mentioned_class_not_guaranteed,E_fleet_vehicle_availability.agent_mentioned_inventory_uncertainty,E_fleet_vehicle_availability.customer_vehicle_anxiety,E_fleet_vehicle_availability.hard_constraint_details,E_fleet_vehicle_availability.hard_constraint_exists,E_fleet_vehicle_availability.hard_constraint_type,E_fleet_vehicle_availability.vehicle_class_category,E_fleet_vehicle_availability.vehicle_class_requested,F_insurance_coverage_money.coverage_cap_amount,F_insurance_coverage_money.coverage_explained_clearly,F_insurance_coverage_money.coverage_partial_or_capped,F_insurance_coverage_money.coverage_understood_by_customer,F_insurance_coverage_money.customer_changed_plans_due_to_cost,F_insurance_coverage_money.customer_cost_worry,F_insurance_coverage_money.deposit_amount,F_insurance_coverage_money.deposit_mentioned,G_branch_reliability_alternatives.agent_attempted_branch_contact,G_branch_reliability_alternatives.agent_transferred_to_branch,G_branch_reliability_alternatives.branch_answered,G_branch_reliability_alternatives.branch_unreachable,G_branch_reliability_alternatives.competitor_mentioned,G_branch_reliability_alternatives.competitor_name,G_branch_reliability_alternatives.location_avoidance_requested,G_branch_reliability_alternatives.prior_bad_branch_experience_mentioned,H_customer_comprehension_cognitive_load.confusion_expressed,H_customer_comprehension_cognitive_load.confusion_topics,H_customer_comprehension_cognitive_load.familiar_with_ir_process,H_customer_comprehension_cognitive_load.familiarity_level,H_customer_comprehension_cognitive_load.repeated_instructions,H_customer_comprehension_cognitive_load.took_notes,I_emotional_psychological_signals.distress_signals_present,I_emotional_psychological_signals.emotional_state_end,I_emotional_psychological_signals.emotional_state_start,I_emotional_psychological_signals.fear_signals_present,I_emotional_psychological_signals.safety_concerns_present,I_emotional_psychological_signals.trauma_context_present,J_agent_behavior_clarity.agent_acknowledged_concerns,J_agent_behavior_clarity.agent_expressed_empathy,J_agent_behavior_clarity.agent_polite_professional,J_agent_behavior_clarity.agent_summarized_next_steps,J_agent_behavior_clarity.next_steps_clarity,K_outcome_customer_effort.cancellation_during_call,K_outcome_customer_effort.customer_actions_count,K_outcome_customer_effort.customer_post_call_actions,K_outcome_customer_effort.effort_burden,K_outcome_customer_effort.effort_burden_explanation,K_outcome_customer_effort.reservation_status_end
audiofile-686587675035_extracted,complete,"4520A Alpha Street, Barnabas Road, Temple Hills, Maryland","The conversation involved a representative from HERTZ confirming with a customer, Jeffrey Barlow, that State Farm had authorized a rental vehicle for him. The representative asked if Jeffrey required a pickup service, but he confirmed he had a way to the location. There was some confusion from the customer regarding the address format.",State Farm,scheduled_future,completed,Scheduled_future,flexible,confirming contact details|pickup plans|scheduling,,"Next week, no exact timing given during the call.",scheduled,false,,true,false,false,false,false,false,true,false,true,true,false,true,false,true,false,,false,,,,,false,false,false,false,false,,false,false,false,,false,false,,false,false,true,address details,true,some_experience,true,false,false,calm,calm,false,false,false,true,true,true,true,partial,false,2,Call HERTZ to schedule a vehicle pickup with date and time.|Use the given number and press option five to reach the correct desk.,low,The only additional action required is a phone call to confirm details. Any confusion was minor and focused on address verification.,provisional
audiofile-686587675806_extracted,complete,"Pleasant Hill, Philadelphia at 280 Curry Hollow Road; Also mentioned is Pittsburgh, Pennsylvania at 5634 Baum Boulevard","The conversation involves Zariah from HERTZ speaking with Ms. Patrice Olives. State Farm Insurance has authorized a HERTZ rental for Ms. Olives. Initially, the rental location provided was far from Ms. Olives' location, which led her to seek a closer branch. Zariah identified a HERTZ branch closer to Ms. Olives and attempted to change the location.",State Farm Insurance,scheduled_future,completed,Scheduled future,flexible,location change for the rental pickup,The repair shop opens on Monday,,unsure,false,,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,,false,,,,,false,false,false,false,false,,false,false,false,,false,false,,false,false,false,,true,experienced,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,2,Schedule the car repair appointment.|Contact the local HERTZ branch once the date and time are known.,low,The main action is calling the local branch once the repair appointment is scheduled.,provisional
audiofile-686587676800_extracted,complete,"Nashville, Tennessee, 3100 Charlotte Avenue","A HERTZ representative named Zariah called Joseph McNeesey regarding an insurance-authorized rental by State Farm Insurance in Nashville. Zariah offered pickup service options and discussed branch hours. Joseph planned to use a lift service instead of the unsure pickup service and initially thought the branch was open despite the agent's system indicating otherwise. After confirming the need for a valid driver's license and payment method for the rental, Zariah found an alternate open branch at 783 Bell Road, Anatote, Tennessee. Inventory concerns at the HERTZ location were mentioned, and Joseph inquired about switching to Enterprise if needed. The call ended with a confirmation for Joseph to call the branch to finalize details.",State Farm Insurance,same_day_urgent,completed,Same_day_urgent,urgent,Whether to keep the lift or rely on HERTZ pickup|Confirming branch operational hours|Finding an alternative branch|Checking inventory availability,"Initially, the system showed the branch was closed on weekends, but Joseph was informed it was open until 4 PM.",To arrive at the HERTZ location by 10 AM.,immediate_same_day,false,,true,true,true,false,true,false,true,false,true,true,true,false,true,true,false,,false,,,"None specified, but for a rental to replace a 2006 Nissan Maxima.",,false,,true,false,false,,true,false,false,,false,true,Enterprise,false,false,true,branch hours|HERTZ services,true,some_experience,false,false,false,anxious,calm,false,false,false,true,true,true,true,clear,false,2,Call the new HERTZ location|Possibly call back about alternative options if needed,medium,"Due to needing to change locations and confirm details independently, including vehicle availability and operation hours.",finalized
audiofile-686587677399_extracted,complete,"104 Meade Avenue in Charlottesville, Virginia","The call was between a customer representative from Hertz and a client, Chrysia Calvado-Morales. The representative informed Ms. Morales that State Farm had authorized a rental car for her. The conversation was facilitated through a Spanish interpreter. They discussed details about the pickup timing, during which Ms. Morales indicated that she was flexible and available anytime. The branch was noted to be closed on weekends, so they scheduled a pickup for the following Monday at noon. Ms. Morales requested for the details to be emailed to her. The representative confirmed a security deposit of $50 would be refunded upon the return of the vehicle. Finally, Ms. Morales was advised to call the location an hour before pickup.",State Farm,,completed,straight_through,flexible,setting the pickup time|emailing details|asking for the repair shop’s contact information,The branch is closed on weekends.,"Flexible, available at any time.",unsure,false,,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,,false,,,,,true,false,true,false,false,$50,true,false,false,,false,false,,false,false,true,address,,,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,3,Call the location an hour before arrival and hit option 5.|Bring a valid driver’s license and credit/debit card.|Check email for confirmation details and directions.,low,The customer only needs to ensure they arrive at the location on the scheduled date and time with the necessary documents. The flexibility and ease in scheduling reduced effort.,finalized
audiofile-686587678751_extracted,complete,St. Barnabas Road,The conversation involves TK from HERTZ calling Jeffrey Barlow regarding setting up an appointment for a rental car. The call is a follow-up due to the previous call being interrupted by a system shutdown. Jeffrey Barlow indicated he received the necessary phone number and address and will call back to schedule an appointment. The agent confirmed the email address to send more information and asked about the repair shop and vehicle details. Jeffrey was uncertain about the repair shop but provided the vehicle make and year. The agent instructed Jeffrey to call back when ready to schedule the appointment.,,,completed,straight_through,flexible,Whether Jeffrey had obtained an appointment time,,,,false,,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,false,,,,,,,,false,false,,false,false,false,,false,false,,false,false,true,Exchanged email address,,,false,true,false,calm,frustrated,false,false,false,true,true,true,true,clear,false,1,Call back to schedule an appointment time.,low,"The next steps were clear, and there were no immediate unresolved issues causing complications.",parked
audiofile-686587679788_extracted,complete,"202 Cortland Street in Atlanta Metro, Georgia","The agent, TK from HERTZ, called Patrick to discuss a vehicle rental authorized by State Farm. The conversation established Patrick's need for pickup, which was scheduled for 10 AM the same day. Details such as home address and contact information were confirmed, and it was noted that State Farm would cover the rental cost fully. Instructions were given for Patrick to call the branch when it opens to confirm pickup arrangements.",State Farm,same_day_urgent,completed,same_day_urgent,urgent,timing of pickup|details of the repair shop,The branch opens at 9 AM.,Request for pickup the same day.,immediate_same_day,false,,true,false,true,false,false,false,false,false,true,true,true,false,false,false,false,,false,,,,,true,false,true,false,false,,true,false,false,,false,false,,false,false,true,repair shop name,true,some_experience,false,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,2,Call the branch at the opening time|Press option 5 to confirm pickup and vehicle readiness,low,"The process was straightforward, with clear instructions given, and the insurer covered the rental fully.",finalized
audiofile-686587680051_extracted,complete,"Houston, Texas, at 11999 Katy Freeway Suite 170","Zariah from Hertz calls Rita Ito regarding an authorized rental by State Farm Insurance. The conversation covers the rental location, pickup arrangements (Rita will self-pickup), the timing (Monday at 10 am), and verification of Rita's email and home address. The agent advises Rita to call the Hertz location 1 hour in advance and gives option 5 as contact instruction. Rita questions the authenticity of the call but is reassured. Rita is directed to present a driver's license and a credit/debit card upon arrival. The call concludes with Rita's option to provide her Hertz membership number at the rental counter.",State Farm Insurance,scheduled_future,completed,Scheduled_future,flexible,choice of pickup time|confirmation of email and address|dealing with the customer’s concerns about call authenticity,Available times between 9 and 4:30,Monday at 10 am,scheduled,false,,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,,false,,,,,,false,,false,false,,true,false,false,,false,false,,false,false,true,call authenticity,true,some_experience,false,false,false,calm,anxious,false,false,false,true,true,true,true,clear,false,2,Call the Hertz location an hour in advance (option 5).|Present a valid driver's license and credit/debit card at pickup.,low,The customer had to confirm existing information and follow straightforward instructions for pickup.,finalized
audiofile-686587680365_extracted,complete,"Charlotte, North Carolina at 5624 West Park Drive","The conversation is between a representative from Hertz and a customer, Brianna, who needs a rental car authorized by State Farm after being in an accident. The customer prefers a pick-up or delivery service but is informed that it depends on the branch's availability. Initially directed to a branch at West Park Drive, the customer requests a location closer to home and is redirected to one on East Independence. The customer is advised to coordinate with the branch and collision center for vehicle delivery or pick-up.",State Farm,scheduled_future,completed,scheduled_future,urgent,scheduling for Monday|discussing delivery versus pick-up|choosing which branch to use,The branch is not open on weekends.,"As soon as possible, ideally by Monday.",immediate_same_day,false,,true,false,true,true,true,false,true,true,true,false,true,false,false,false,false,,false,,suv_small,SUV,,,,,false,false,,true,false,false,,false,false,,true,false,true,branch location closeness,true,some_experience,true,false,false,calm,anxious,false,false,true,true,true,true,true,clear,false,3,Contact the branch on East Independence regarding timing and delivery.|Present driver's license and credit/debit card.|Coordinate with the collision center for car drop-off.,medium,"because the customer has follow-up actions to ensure timing and logistics are confirmed, adding an effort layer beyond the call.",provisional
audiofile-686587681425_extracted,complete,"Hertz branch located at 1551 Cobb Parkway South, Marietta, Georgia.","The conversation involved a customer, Aline, who required a rental vehicle authorized by Clear Cover Insurance through Hertz. The discussion was facilitated in Portuguese with the help of an interpreter due to the customer's language preference. Key topics included verification of the customer's identity, confirmation of the rental pickup location, and arranging transportation for vehicle pickup.",Clear Cover Insurance,straight_through,completed,Straight_through,urgent,language barrier|need for an interpreter|location confirmation|pickup arrangement|branch hours,branch opens at 9 am,"earliest pickup due to work requirements, ideally before 8 am",immediate_same_day,false,desired pickup timing before branch opening,false,false,true,false,true,true,false,false,true,true,true,false,false,false,false,,false,,,,,true,false,true,false,false,,false,true,false,false,true,false,,false,false,true,location|timing,true,some_experience,true,false,false,calm,calm,false,false,false,true,true,true,true,clear,false,2,Call the branch when it opens and press option 5|Confirm the pickup service for their rental vehicle.,medium,"The customer needed to navigate through language barriers, logistical scheduling, and contact the branch for follow-up.",provisional
audiofile-686587692602_extracted,complete,"Katy, Texas","The conversation was between a customer and a HERTZ agent regarding a car rental service. The customer inquired about the availability of a pickup service from home while their vehicle was being repaired, and the agent confirmed the service is offered but not guaranteed. The customer was instructed to call an hour in advance and confirmed the reservation for 10 AM.",HERTZ,,completed,same_day_urgent,urgent,pickup service availability|timing of rental,"They open at 9 AM, with the earliest rental at 10 AM.","Today, as soon as possible.",immediate_same_day,false,,true,false,true,false,true,false,false,false,true,true,true,false,false,false,false,,false,,,,,,false,,false,false,,false,false,false,,false,false,,false,false,false,,true,some_experience,false,false,false,stressed,calm,false,false,false,true,true,true,true,clear,false,2,Call the HERTZ location an hour in advance and select option five.|Present a valid driver's license and credit/debit card at the HERTZ location.,medium,The customer must proactively engage the branch for the pickup detail and ensure to have personal documentation ready for the rental.,finalized
